package,name,composable,skippable,restartable,readonly,inline,isLambda,hasDefaults,defaultsGroup,groups,calls,
dev.whosnickdoglio.baenotes.configuration.ConfigurationScreen,ConfigurationScreen,1,1,1,0,0,0,0,0,1,5,
dev.whosnickdoglio.baenotes.configuration.internal.NewNoteScreen,NewNoteScreen,1,1,1,0,0,0,1,0,2,2,
dev.whosnickdoglio.baenotes.configuration.internal.PreviewNewNoteScreen,PreviewNewNoteScreen,1,1,1,0,0,0,0,0,1,1,
dev.whosnickdoglio.baenotes.configuration.internal.components.ColorRadioGroup,ColorRadioGroup,1,1,1,0,0,0,0,0,1,1,
dev.whosnickdoglio.baenotes.configuration.internal.components.ColorRadioGroupPreview,ColorRadioGroupPreview,1,1,1,0,0,0,0,0,1,2,
dev.whosnickdoglio.baenotes.configuration.internal.components.RadioButtonRow,RadioButtonRow,1,1,1,0,0,0,0,0,1,1,
dev.whosnickdoglio.baenotes.configuration.internal.components.RadioButtonRowPreview,RadioButtonRowPreview,1,1,1,0,0,0,0,0,1,2,
dev.whosnickdoglio.baenotes.configuration.internal.components.TextSizeSelector,TextSizeSelector,1,1,1,0,0,0,0,0,1,1,
dev.whosnickdoglio.baenotes.configuration.internal.components.TextSizeSelectorPreview,TextSizeSelectorPreview,1,1,1,0,0,0,0,0,1,2,
dev.whosnickdoglio.baenotes.configuration.internal.theme.BaeNotesTheme,BaeNotesTheme,1,1,1,0,0,0,1,0,5,3,
